Uuid,Void/Retire,Same as mappings,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
b4f9dd7f-4718-47ab-8697-9ce41548452e,,CIEL:78342;SNOMED:387559003,,Ivermectin,Ivermectine,Drug,N/A,,,
bc2a1619-fd05-479e-a122-5de978ef114d,,CIEL:78467;SNOMED:373464007,,Ketamine,Kétamine,Drug,N/A,,,
73e9e187-7164-4e0a-bb36-0a7178406288,,CIEL:78476;SNOMED:387216007,,Ketoconazole,Kétoconazole,Drug,N/A,,,
b24cc360-c046-44cf-a6be-e4aeb385992e,,CIEL:78632;SNOMED:273945008,,Lactulose,Lactulose,Drug,N/A,,,
98dbb9b2-9859-4b68-b08a-78f88f629d40,,CIEL:78788;SNOMED:387552007,,Levofloxacin,Lévofloxacine,Drug,N/A,,,
9ee39084-8962-48d8-bb31-fb89337e8bce,,UNK:8134868829,,Levonorgestrel & Ethinylestradiol,Lévonorgestrel et éthinyl estradiol,Drug,N/A,,,
e61d0a67-a5a6-44e7-8907-6a82d765ca1f,,SNOMED:710809001,,Levothyroxine,Lévothyroxine,Drug,N/A,,,
7eb9a61f-a390-4bc4-bc07-c5b1520d3cb4,,CIEL:78849,,Lignocaine,Lignocaïne,Drug,N/A,,,
c38432d2-3b74-4431-8b60-12a6b053394b,,SNOMED:775788003,,Lignocaine & Adrenaline,Lignocaïne et adrénaline,Drug,N/A,,,
502a66e9-2eb3-4e13-926f-57fe9d393a94,,CIEL:79074;SNOMED:373567002,,Losartan,Losartan,Drug,N/A,,,
0bdba7cc-fcd1-41e1-8f79-6407d2835a78,,CIEL:79224;SNOMED:72717003,,Magnesium,Magnésium,Drug,N/A,,,
00fe2104-f143-4250-ab30-d22ca130e685,,CIEL:79303;SNOMED:387168006,,Mannitol,Mannitol,Drug,N/A,,,
00e041c7-1731-4d0f-bf0d-980192ad38c1,,CIEL:79494;SNOMED:126113007,,Medroxyprogesterone,Médroxyprogestérone,Drug,N/A,,,
fcac77cf-fd5d-4083-9426-1591531bdb84,,CIEL:907;SNOMED:126112002,,Medroxyprogesterone Acetate,Acétate de médroxyprogestérone,Drug,N/A,,,
017dcf18-5ba3-4aac-b12a-27a5df1ffee5,,CIEL:79700;SNOMED:387381009,,Methotrexate,Méthotrexate,Drug,N/A,,,
79ae8e90-0903-41fd-a727-deca362b1d2e,,SNOMED:126074008,,Methylergometrine,Méthylergométrine,Drug,N/A,,,
fa2a3b41-e500-45cd-8f93-e7d77d5db398,,CIEL:79755;SNOMED:372776000,,Metoclopramide,Métoclopramide,Drug,N/A,,,
c929e588-db44-4d91-8040-d82cd21744d1,,SNOMED:775602008,,Metronidazole & Diloxanide,Métronidazole et diloxanide,Drug,N/A,,,
75fd74ef-1b85-4fac-9a44-b56eb5c2b2a3,,SNOMED:1173072007,,"Metronidazole, Chlorhexidine, Lignocaine & Menthol","Métronidazole, chlorhéxidine, lignocaïne et menthol",Drug,N/A,,,
75354dd0-4650-438e-a819-b1bee23e0f0e,,CIEL:79853;SNOMED:373476007,,Midazolam,Midazolam,Drug,N/A,,,
62000346-9e4b-4462-bd36-561804ad10ad,,SNOMED:129483007,,Mifepristone & Misoprostol,Mifepristone et misoprostol,Drug,N/A,,,
75523cab-d099-40a9-aaed-8ac097d88014,,CIEL:162488;SNOMED:713642004,,Miltefosine,Miltefosine,Drug,N/A,,,
30754108-af96-41aa-adee-2b6556bc48f3,,CIEL:79982;SNOMED:386847004,,Mirtazapine,Mirtazapine,Drug,N/A,,,
eb3c251d-b345-4517-9438-8ffb9336ebc9,,CIEL:79984;SNOMED:387242007,,Misoprostol,Misoprostol,Drug,N/A,,,
9c2f2f22-6e7a-464e-a8ca-129bc1fdf4b5,,CIEL:80106;SNOMED:373529000,,Morphine,Morphine,Drug,N/A,,,
77a46432-ce20-4aab-96dc-6a12feac08b4,,CIEL:80367;SNOMED:372890007,,Naloxone,Naloxone,Drug,N/A,,,
a1b11bd9-f344-432a-877e-c12784c1acc1,,SNOMED:774729001,,Neomycin & Polymyxin B & Bacitracin Zinc,"Néomycine, polymyxine B et bacitracine-zinc",Drug,N/A,,,
251a17f9-c229-4aee-9555-9bf7620b2a5a,,CIEL:80637;SNOMED:387490003,,Nifedipine,Nifédipine,Drug,N/A,,,
e678879b-630d-441c-aa5e-e93f6eff038f,,CIEL:80665;SNOMED:703479000,,Nimesulide,Nimesulide,Drug,N/A,,,
64d72b1f-2585-48e2-b66a-0da320d068da,,CIEL:80696;SNOMED:373543005,,Nitrofurantoin,Nitrofurantoïne,Drug,N/A,,,
cc4a27b0-78cb-4d3d-9c85-51f4a06d1f4a,,CIEL:80804;SNOMED:373757009,,Normal Saline (NS),Solution physiologique salée (NS),Drug,N/A,,,
3bb1e50f-7d8e-440e-8bc9-9736d147a5bd,,CIEL:81022;SNOMED:387551000,,Ofloxacin,Ofloxacine,Drug,N/A,,,
df3f7c1f-dac8-429b-ba38-90d770c1253c,,CIEL:81041;SNOMED:387137007,,Omeprazole,Omeprazole,Drug,N/A,,,
c1c56699-79cd-4d37-9cbd-6166430b7948,,CIEL:81073;SNOMED:372487007,,Ondansetron,Ondansétron,Drug,N/A,,,
4f4a63d6-b45c-48fa-9382-d35b6ea20c87,,UNK:6239320561,,Oral Hormonal Contraceptive Pills,Contraceptifs hormonaux oraux,Drug,N/A,,,
98764756-01cd-4a55-a339-b33ab13c4b46,,SNOMED:1204308002,,Oral Rehydration Solution (ORS),Solution de réhydratation orale (ORS),Drug,N/A,,,
e16636a1-5350-40b3-9a42-a806996687e0,,CIEL:81345;SNOMED:387158001,,Oxymetazoline,Oxymétazoline,Drug,N/A,,,
2a301cf3-7a51-487d-8a07-5f9db3baafd7,,CIEL:81369;SNOMED:112115002,,Oxytocin,Ocytocine,Drug,N/A,,,
2ba5c05a-357c-4469-b83b-2b8d30ca126c,,SNOMED:67079006,,P Dextrose And Electrolyte Solution,Solution de dextrose P et electrolytes,Drug,N/A,,,
b3ed709f-f800-4ea9-bbba-f52c69ef0d86,,CIEL:81551;SNOMED:395821003,,Pantoprazole,Pantoprazole,Drug,N/A,,,
2f24dfb3-a88d-435f-989d-12673a2a005b,,SNOMED:775360007,,Paracetamol & Codeine Phosphate,Paracétamol et phosphate de codeine,Drug,N/A,,,
8686e582-0eff-45d6-bd70-a75f3478d338,,UNK:7022708950,,Paracetamol Paediatric,Paracétamol pédiatrique,Drug,N/A,,,
214ebdfb-2940-42f8-a5e6-e04c2455c1c5,,UNK:5633804033,,Paradichloro Benzene,Paradichlorobenzene,Drug,N/A,,,
9d7acd58-f181-4be0-9350-bcd152512451,,SNOMED:65020006,,"Paradichlorobenzene, Benzocaine, Chlorbutol & Turpentine Oil","Paradichlorobenzene, benzocaine, chlorbutol et huile de térébenthine",Drug,N/A,,,
